address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
2300 W 11TH AVE,I-B,183.0,2176.0173611914183,I-B,183,0.0
1047 N OSAGE ST,I-A,53.0,38.56494329966445,C-MX-8x,212,159.0
1398 W 6TH AVE APPPRX,I-B,274.0,2362.1926058628105,I-B,274,0.0
700 N RARITAN ST,I-B,256.0,1274.0583295808692,G-RX-5x,384,128.0
901 N NAVAJO ST,C-MX-8,324.0,409.0884856028948,C-MX-8,324,0.0
1101 N OSAGE ST,I-A,34.0,607.4743113377056,C-MX-8x,135,101.0
801 N PECOS ST,I-B,1061.0,181.6618898649254,C-MX-8x,4245,3184.0
601 N PECOS ST,I-B,306.0,1045.2997739779355,G-RX-5x,460,154.0
680 N SEMINOLE RD,I-B,139.0,1691.2149343804117,I-B,139,0.0
6705 E LAYTON AVE,T-MU-30,1561.0,930.4886326400839,T-MU-30,1561,0.0
905 S PLATTE RIVER DR,C-RX-8,204.0,1185.9458269927156,C-RX-8,204,0.0
5860 E JEFFERSON AVE,S-SU-F,256.0,877.866221066567,G-RX-5x,384,128.0
800 N SEMINOLE RD,I-B,859.0,53.225108943314275,C-MX-8x,3435,2576.0
4811 W 10TH AVE,U-RH-3A,67.0,1161.5705062194693,U-RH-3A,67,0.0
3979 CENTRAL PARK BLVD,M-IMX-12,11503.0,1467.416593643558,M-IMX-12,11503,0.0
909 N BRYANT ST,C-RX-8,544.0,2086.2128547898287,C-RX-8,544,0.0
6206 N SALIDA ST,S-MX-8,654.0,1450.3777031888762,S-MX-8,654,0.0
4340 N KALAMATH ST,U-RH-2.5,16.0,1328.8490241479376,U-RH-2.5,16,0.0
4353 N KALAMATH ST,U-RH-2.5,16.0,1487.9334957176288,U-RH-2.5,16,0.0
4000 N PECOS ST,U-MX-2X,7.0,2637.2735506011513,U-MX-2X,7,0.0
4041 N JASON ST,I-MX-3,9.0,818.4889033056463,I-MX-3,9,0.0
4059 N JASON ST,I-MX-3,16.0,781.500440071184,I-MX-3,16,0.0
1118 W 41ST AVE,I-MX-3,9.0,855.7941342631796,I-MX-3,9,0.0
3815 N JASON ST,U-MS-3,12.0,1597.9495518222789,U-MS-3,12,0.0
3810 N JASON ST,I-MX-3,12.0,1519.0805821680435,I-MX-3,12,0.0
4353 N CHEROKEE ST,C-RX-8,29.0,1716.1943857695408,C-RX-8,29,0.0
4365 N CHEROKEE ST,C-RX-8,33.0,1744.5737805005222,C-RX-8,33,0.0
4205 N FOX ST,C-MS-8,25.0,501.40574648490485,C-MS-8,25,0.0
4211 N FOX ST,C-MS-8,50.0,523.9752190023371,C-MS-8,50,0.0
4712 N BRIGHTON BLVD,I-MX-3,8.0,1036.9172906772064,I-MX-3,8,0.0
4724 N BRIGHTON BLVD,I-MX-3,12.0,994.2164385746548,I-MX-3,12,0.0
3921 N HUMBOLDT ST,U-RH-3A,6.0,1145.9569825664853,U-RH-3A,6,0.0
3925 N HUMBOLDT ST,U-RH-3A,6.0,1160.0604616179667,U-RH-3A,6,0.0
3961 N HUMBOLDT ST,U-RH-3A,10.0,1301.7712460295354,U-RH-3A,10,0.0
3931 N HUMBOLDT ST,U-RH-3A,13.0,1174.5256530800464,U-RH-3A,13,0.0
3957 N HUMBOLDT ST,U-RH-3A,7.0,1282.5079858374786,U-RH-3A,7,0.0
3800 N HIGH ST,U-MX-2X,8.0,2592.23681144307,U-MX-2X,8,0.0
4134 N MADISON ST,I-MX-3,9.0,1035.6958765276236,I-MX-3,9,0.0
4128 N MADISON ST,I-MX-3,12.0,1054.3503184789795,I-MX-3,12,0.0
3943 N COOK ST,U-RH-2.5,21.0,2044.8384453738656,U-RH-2.5,21,0.0
3975 N COOK ST,U-RH-2.5,31.0,1885.363171030972,U-RH-2.5,31,0.0
3945 N COOK ST,U-RH-2.5,21.0,2008.3108373541831,U-RH-2.5,21,0.0
3955 N COOK ST,U-RH-2.5,21.0,1972.3767307587925,U-RH-2.5,21,0.0
3965 N COOK ST,U-RH-2.5,21.0,1937.0701079936237,U-RH-2.5,21,0.0
3985 N COOK ST,U-RH-2.5,21.0,1851.7807676076159,U-RH-2.5,21,0.0
3991 N COOK ST,U-RH-2.5,21.0,1818.956044427539,U-RH-2.5,21,0.0
3984 N COOK ST,I-MX-3,17.0,1701.6906733332125,I-MX-3,17,0.0
3414 N MARION ST,U-MX-3,12.0,2100.604529007928,U-MX-3,12,0.0
3406 N MARION ST,U-MX-3,12.0,2149.022385627036,U-MX-3,12,0.0
